Stock,Position,Profit,Open position,close position,date start with time,date end with time
CBA,Long,-106.37,156.15,150.98,2024-07-01 15:00,2024-07-01 15:30
QAN,Long,-15.81,8.04,7.78,2024-07-05 11:15,2024-07-05 12:45
TJXQ,Long,-155.69,57.95,55.95,2024-07-08 12:05,2024-07-08 13:05
CBA,Long,-21.48,181.58,179.81,2024-07-11 12:30,2024-07-11 14:00
QAN,Long,33.75,9.34,9.52,2024-07-15 10:00,2024-07-15 11:00
TJXQ,Long,158.3,56.6,58.8,2024-07-17 12:15,2024-07-17 14:15
CBA,Long,-25.51,118.01,117.02,2024-07-19 13:15,2024-07-19 14:45
QAN,Long,25.18,10.44,10.58,2024-07-23 10:05,2024-07-23 10:20
TJXQ,Long,-16.77,57.79,57.51,2024-07-25 15:15,2024-07-25 18:15
CBA,Long,31.71,175.77,178.09,2024-07-30 12:45,2024-07-30 15:45
TJXQ,Long,-30.73,61.22,60.91,2024-08-01 14:15,2024-08-01 14:45
CBA,Long,68.09,165.46,170.35,2024-08-06 13:30,2024-08-06 14:00
QAN,Long,5.83,6.81,6.88,2024-08-09 10:45,2024-08-09 11:15
TJXQ,Long,21.89,53.22,53.5,2024-08-12 10:45,2024-08-12 12:15
CBA,Long,5.53,172.33,172.86,2024-08-13 14:30,2024-08-13 14:45
QAN,Long,-6.57,8.09,8.1,2024-08-16 14:00,2024-08-16 14:30
TJXQ,Long,281.9,55.08,56.52,2024-08-19 15:15,2024-08-19 16:00
CBA,Long,88.71,126.2,130.04,2024-08-22 15:10,2024-08-22 18:10
QAN,Long,14.1,10.47,10.61,2024-08-26 10:05,2024-08-26 11:05
TJXQ,Long,-206.88,30.37,29.35,2024-08-28 10:00,2024-08-28 10:15
QAN,Long,17.07,5.87,6.06,2024-09-02 11:30,2024-09-02 12:15
TJXQ,Long,337.66,54.76,56.47,2024-09-05 13:05,2024-09-05 13:35
CBA,Long,-11.47,112.75,112.45,2024-09-09 10:45,2024-09-09 11:15
QAN,Long,2.01,4.86,4.96,2024-09-10 14:15,2024-09-10 15:00
TJXQ,Long,-53.25,43.61,42.99,2024-09-13 13:30,2024-09-13 14:00
CBA,Long,36.29,109.05,113.41,2024-09-16 11:15,2024-09-16 15:15
QAN,Long,8.51,7.39,7.61,2024-09-19 13:10,2024-09-19 17:10
TJXQ,Long,157.53,38.55,39.21,2024-09-24 15:45,2024-09-24 19:45
CBA,Long,-19.98,117.38,115.88,2024-09-27 10:45,2024-09-27 12:45
QAN,Long,0.98,4.84,4.88,2024-09-30 11:00,2024-09-30 11:30
CBA,Long,-57.25,173.11,167.94,2024-10-01 13:00,2024-10-01 14:00
QAN,Long,-17.02,7.97,7.71,2024-10-04 12:15,2024-10-04 13:00
TJXQ,Long,-73.07,52.85,52.19,2024-10-07 10:15,2024-10-07 10:45
CBA,Long,-44.49,110.86,108.75,2024-10-11 10:05,2024-10-11 12:05
QAN,Long,-7.72,6.21,6.2,2024-10-15 15:30,2024-10-15 15:45
TJXQ,Long,85.38,52.71,53.06,2024-10-16 12:00,2024-10-16 12:30
CBA,Long,-81.93,164.39,160.55,2024-10-21 12:05,2024-10-21 13:35
QAN,Long,-8.05,7.53,7.41,2024-10-23 12:00,2024-10-23 12:15
TJXQ,Long,-104.47,40.34,39.32,2024-10-25 10:45,2024-10-25 11:30
CBA,Long,118.18,148.65,152.75,2024-10-29 11:00,2024-10-29 12:30
TJXQ,Long,65.61,41.49,42.94,2024-11-01 15:05,2024-11-01 15:35
CBA,Long,15.91,133.29,134.22,2024-11-06 11:05,2024-11-06 11:50
QAN,Long,38.85,10.36,10.63,2024-11-08 11:45,2024-11-08 12:15
TJXQ,Long,-205.33,42.15,40.8,2024-11-11 12:10,2024-11-11 13:10
CBA,Long,41.03,122.83,124.61,2024-11-13 12:10,2024-11-13 15:10
QAN,Long,16.86,8.58,8.82,2024-11-18 12:00,2024-11-18 12:30
TJXQ,Long,-49.12,50.07,49.62,2024-11-21 10:15,2024-11-21 11:15
